,Plant_Species_Corrected,family,genus,mFruitLength_sp,,
209,Diospyros_iturensis,Ebenaceae,Diospyros,2,https://plants.jstor.org/stable/10.5555/al.ap.specimen.iuk05852,photo estimation
210,Diospyros_polystemon,Ebenaceae,Diospyros,2,https://plants.jstor.org/stable/10.5555/al.ap.specimen.iuk05861,
211,Diospyros_suaveolens,Ebenaceae,Diospyros,NA,,
212,Donella_ubangiensis,Sapotaceae,Donella,NA,,
213,Chytranthus_atroviolaceus,Sapindaceae,Chytranthus,NA,,
214,Chytranthus_setosus,Sapindaceae,Chytranthus,NA,,
215,Chytranthus_talbotii,Sapindaceae,Chytranthus,NA,,
216,Cola_gabonensis,Malvaceae,Cola,4,https://plants.jstor.org/stable/10.5555/al.ap.specimen.k000241054,photo estimation
217,Ficus_mucuso,Moraceae,Ficus,42.0625,Sinnott-Armstrong2019,
218,Ficus_polita,Moraceae,Ficus,31.565,Sinnott-Armstrong2019,
219,Cola_nitida,Malvaceae,Cola,3.189,"Morpho-agronomic variability of three kola trees accessions [Cola nitida (Vent.) Schott et Endl., Cola acuminata (P. Beauv.) Schott et Endl., and Garcinia kola Heckel] from Southern Benin",
220,Cola_rostrata,Malvaceae,Cola,NA,,
221,Cryptosepalum_staudtii,Fabaceae,Cryptosepalum,7,https://uses.plantnet-project.org/en/Cryptosepalum_staudtii_(PROTA)#Cryptosepalum_tetraphyllum,
222,Pachylobus_klaineanus,Burseraceae,Pachylobus,NA,,
223,Ficus_recurvata,Moraceae,Ficus,3,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:584007-1,
224,Desplatsia_dewevrei,Malvaceae,Desplatsia,17.5,https://treatment.plazi.org/GgServer/html/BF451D613047FF9C77FAB4E5920B4560,
225,Desplatsia_subericarpa,Malvaceae,Desplatsia,8,https://prota4u.org/database/protav8.asp?g=pe&p=Desplatsia+subericarpa+Bocq.,
226,Heisteria_parvifolia,Olacaceae,Heisteria,1.1,https://www.prota4u.org/database/protav8.asp?g=pe&p=Heisteria+parvifolia+Sm.,
227,Dialium_pachyphyllum,Fabaceae,Dialium,2.5,https://www.prota4u.org/database/protav8.asp?g=pe&p=Dialium+pachyphyllum+Harms,
228,Irvingia_grandifolia,Irvingiaceae,Irvingia,5.25,https://korupplants.myspecies.info/taxonomy/term/202,
229,Dialium_tessmannii,Fabaceae,Dialium,NA,,
230,Dichapetalum_unguiculatum,Dichapetalaceae,Dichapetalum,NA,,
231,Dioscoreophyllum_cumminsii,Menispermaceae,Dioscoreophyllum,35,Sinnott-Armstrong2019,
232,Lecaniodiscus_cupanioides,Sapindaceae,Lecaniodiscus,18.425,Sinnott-Armstrong2019,
233,Diospyros_crassiflora,Ebenaceae,Diospyros,10,https://www.prota4u.org/database/protav8.asp?g=pe&p=Diospyros+crassiflora+Hiern,
234,Mangifera_indica,Anacardiaceae,Mangifera,122.14,Sinnott-Armstrong2019,
235,Megaphrynium_gabonense,Maranthaceae,Megaphrynium,NA,,
236,Megaphrynium_macrostachyum,Marantaceae,Megaphrynium,2.25,https://prota4u.org/database/protav8.asp?g=pe&p=Megaphrynium+macrostachyum+(Benth.)+Milne-Redh.,
237,Diospyros_piscatoria,Ebenaceae,Diospyros,2,https://plants.jstor.org/stable/10.5555/al.ap.specimen.e00217131,photo estimation
238,Monanthotaxis_congoensis,Annonaceae,Monanthotaxis,NA,,
239,Monodora_angolensis,Annonaceae,Monodora,70,Sinnott-Armstrong2019,
240,Myrianthus_arboreus,Urticaceae,Myrianthus,68.575,Sinnott-Armstrong2019,
241,Nauclea_vanderguchtii,Rubiaceae,Nauclea,4,https://powo.science.kew.org/taxon/757283-1,photo estimation
242,Parkia_bicolor,Fabaceae,Parkia,35,https://prota4u.org/database/protav8.asp?g=pe&p=Parkia+bicolor+A.Chev.,
243,Parkia_filicoidea,Fabaceae,Parkia,35,https://www.prota4u.org/database/protav8.asp?g=pe&p=Parkia+filicoidea,
244,Drypetes_cinnabarina,Putranjivaceae,Drypetes,3,https://plants.jstor.org/stable/10.5555/al.ap.specimen.br0000008894540?searchUri=filter%3Dname%26so%3Dps_group_by_genus_species%2Basc%26Query%3DDrypetes%2Bcinnabarina,photo estimation
245,Drypetes_diopa,Putranjivaceae,Drypetes,NA,,
246,Drypetes_gilgiana,Putranjivaceae,Drypetes,17,Sinnott-Armstrong2019,
247,Drypetes_gossweileri,Putranjivaceae,Drypetes,9,https://www.prota4u.org/database/protav8.asp?g=pe&p=Drypetes+gossweileri+S.Moore,
248,Drypetes_pellegrinii,Putranjivaceae,Drypetes,NA,,
249,Duboscia_viridiflora,Malvaceae,Duboscia,4,https://plants.jstor.org/stable/10.5555/al.ap.visual.kfwt00000062,photo estimation
250,Erythrophleum_lasianthum,Fabaceae,Erythrophleum,13,http://pza.sanbi.org/erythrophleum-lasianthum,
251,Fernandoa_adolfi-friderici,Bignoniaceae,Fernandoa,NA,,
252,Pseudospondias_microcarpa,Anacardiaceae,Pseudospondias,19.525,Sinnott-Armstrong2019,
253,Psychotria_vogeliana,Rubiaceae,Psychotria,8.5,Sinnott-Armstrong2019,
254,Rutidea_dupuisii,Rubiaceae,Rutidea,NA,,
255,Scytopetalum_klaineanum,Lecythidaceae,Scytopetalum,2,https://plants.jstor.org/stable/10.5555/al.ap.specimen.mpu020435,photo estimation
256,Treculia_africana,Moraceae,Treculia,48.4375,Sinnott-Armstrong2019,
257,Trichoscypha_acuminata,Anacardiaceae,Trichoscypha,3.5,https://plants.jstor.org/stable/10.5555/al.ap.specimen.ya0022813,
258,Ganophyllum_giganteum,Sapindaceae,Ganophyllum,2,https://prota4u.org/database/protav8.asp?g=pe&p=Ganophyllum+giganteum+(A.Chev.)+Hauman,
259,Garcinia_kola,Clusiaceae,Garcinia,3.189,"Dah-Nouvlessounon, D., Adoukonou-Sagbadja, H., Nafan, D., Adjanohoun, A., Noumavo, A. P., SINA, H., Daouda, B., & Baba-Moussa, L. (2016). Morpho-agronomic variability of three kola trees accessions [Cola nitida (Vent.) Schott et Endl., Cola acuminata (P. Beauv.) Schott et Endl., and Garcinia kola Heckel] from Southern Benin. Genetic Resources and Crop Evolution, 63. https://doi.org/10.1007/s10722-015-0362-z",
260,Gilbertiodendron_dewevrei,Fabaceae,Gilbertiodendron,22.5,https://www.prota4u.org/database/protav8.asp?g=pe&p=Gilbertiodendron+dewevrei+(De+Wild.)+J.L%E9onard,
261,Microcos_coriacea,Malvaceae,Microcos,2.89,"Bustamante, K., Santos-Ordóñez, E., Miranda, M., Pacheco, R., Gutiérrez, Y., & Scull, R. (2019). Morphological and molecular barcode analysis of the medicinal tree Mimusops coriacea (A.DC.) Miq. Collected in Ecuador. PeerJ, 7, e7789. https://doi.org/10.7717/peerj.7789",
262,Microcos_oligoneura,Malvaceae,Microcos,4.5,https://plants.jstor.org/stable/10.5555/al.ap.specimen.br0000006714819,photo estimation
263,Microcos_pinnatifida,Malvaceae,Microcos,3.5,https://plants.jstor.org/stable/10.5555/al.ap.specimen.k000241795,
264,Microcos_seretii,Malvaceae,Microcos,2.5,https://plants.jstor.org/stable/10.5555/al.ap.specimen.epu300021938?searchUri=filter%3Dname%26so%3Dps_group_by_genus_species%2Basc%26Query%3D%2528Grewia%2Bseretii%2529,photo estimation
265,Haumania_danckelmaniana,Marantaceae,Haumania,,,
266,Haumania_liebrechtsiana,Marantaceae,Haumania,NA,,
267,Uapaca_sansibarica,Phyllanthaceae,Uapaca,17.60333333,Sinnott-Armstrong2019,
268,Hylodendron_gabunense,Fabaceae,Hylodendron,9,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiRhe_B65_7AhW_GFkFHZnuCJoQFnoECBEQAQ&url=https%3A%2F%2Fwww.prota4u.org%2Fdatabase%2Fprotav8.asp%3Fg%3Dpe%26p%3DHylodendron%2Bgabunense%2BTaub.&usg=AOvVaw0oeP6j4FAWTUPpcbTRhi6F,
269,Hypselodelphys_violacea,Marantaceae,Hypselodelphys,5,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwiYus7065_7AhWoMlkFHdJnDZQQFnoECA4QAQ&url=https%3A%2F%2Fwww.prota4u.org%2Fdatabase%2Fprotav8.asp%3Fg%3Dpe%26p%3DHypselodelphys%2Bviolacea%2B(Ridl.)%2BMilne-Redh.&usg=AOvVaw3q0MwWIi673_fMDEODyBTj,
270,Irvingia_excelsa,Irvingiaceae,Irvingia,NA,,
271,Isolona_hexaloba,Annonaceae,Isolona,5,Isolona_hexaloba,
272,Landolphia_villosa,Apocynaceae,Landolphia,NA,,
273,Leea_guineensis,Vitaceae,Leea,7.266666667,Sinnott-Armstrong2019,
274,Manilkara_letouzeyi,Sapotaceae,Manilkara,NA,,
275,Maranthes_glabra,Chrysobalanaceae,Maranthes,NA,,
276,Marantochloa_filipes,Marantaceae,Marantochloa,NA,,
277,Microdesmis_keayana,Pandaceae,Microdesmis,NA,,
278,Milicia_excelsa,Moraceae,Milicia,2.75,Sinnott-Armstrong2019,
279,Monodora_myristica,Annonaceae,Monodora,165.1,Sinnott-Armstrong2019,
280,Palisota_ambigua,Commelinaceae,Palisota,NA,,
281,Palisota_hirsuta,Commelinaceae,Palisota,NA,,
282,Palisota_thollonii,Commelinaceae,Palisota,NA,,
283,Pancovia_laurentii,Sapindaceae,Pancovia,NA,,
284,Pleiocarpa_mutica,Apocynaceae,Pleiocarpa,NA,,
285,Psychotria_arnoldiana,Rubiaceae,Psychotria,NA,,
286,Pterocarpus_soyauxii,Fabaceae,Pterocarpus,NA,,
287,Saba_comorensis,Apocynaceae,Saba,NA,,
288,Nauclea_pobeguinii,Rubiaceae,Nauclea,NA,,
289,Sarcophrynium_brachystachyum,Marantaceae,Sarcophrynium,NA,,
290,Sarcophrynium_prionogonium,Marantaceae,Sarcophrynium,NA,,
291,Sorindeia_grandifolia,Anacardiaceae,Sorindeia,NA,,
292,Tabernaemontana_crassa,Apocynaceae,Tabernaemontana,NA,,
293,Tabernaemontana_penduliflora,Apocynaceae,Tabernaemontana,NA,,
294,Tieghemella_africana,Sapotaceae,Tieghemella,NA,,
295,Tessmannia_anomala,Fabaceae,Tessmannia,NA,,
296,Tiliacora_bequaertii,Menispermaceae,Tiliacora,NA,,
297,Trichilia_monadelpha,Meliaceae,Trichilia,NA,,
298,Trichoscypha_oddonii,Anacardiaceae,Trichoscypha,NA,,
299,Triclisia_dictyophylla,Menispermaceae,Triclisia,NA,,
300,Triclisia_patens,Menispermaceae,Triclisia,NA,,
301,Uapaca_pynaertii,Phyllanthaceae,Uapaca,3.5,"Breteler, F. J. (2013). Uapaca (Phyllanthaceae) in the Guineo-Congolian forest region: A synoptic revision. Plant Ecology and Evolution, 146(1), 75–94. https://doi.org/10.5091/plecevo.2013.770",
302,Zanha_golungensis,Sapindaceae,Zanha,19.50625,Sinnott-Armstrong2019,
303,Uvariastrum_pierreanum,Annonaceae,Uvariastrum,NA,,
304,Gambeya_gorungosana,Sapotaceae,Gambeya,NA,,
305,Solanum_terminale,Solanaceae,Solanum,7.5,Sinnott-Armstrong2019,
306,Balanites_wilsoniana,Zygophyllaceae,Balanites,76.3,Sinnott-Armstrong2019,
307,Blighia_unijugata,Sapindaceae,Blighia,39.09090909,Sinnott-Armstrong2019,
308,Chaetachme_aristata,Ulmaceae,Chaetachme,21.25,Sinnott-Armstrong2019,
309,Fagaropsis_angolensis,Rutaceae,Fagaropsis,6.583333333,Sinnott-Armstrong2019,
310,Ficus_saussureana,Moraceae,Ficus,30,Sinnott-Armstrong2019,
311,Harrisonia_abyssinica,Rutaceae,Harrisonia,10,Sinnott-Armstrong2019,
312,Mimusops_bagshawei,Sapotaceae,Mimusops,25.2,Sinnott-Armstrong2019,
313,Neoboutonia_melleri,Euphorbiaceae,Neoboutonia,6.5,Sinnott-Armstrong2019,
314,Aningeria_altissima,Sapotaceae,Aningeria,19.525,Sinnott-Armstrong2019,
315,Dialium_guineense,Fabaceae,Dialium,NA,,
316,Dichapetalum_heudelotii,Dichapetalaceae,Dichapetalum,NA,,
317,Dichapetalum_mombuttense,Dichapetalaceae,Dichapetalum,NA,,
318,Trichilia_welwitschii,Meliaceae,Trichilia,NA,,
319,Turraeanthus_africanus,Meliaceae,Turraeanthus,NA,,
320,Adansonia_digitata,Malvaceae,Adansonia,350,Sinnott-Armstrong2019,
321,Aframomum_cereum,Zingiberaceae,Aframomum,NA,,
322,Aframomum_exscapum,Zingiberaceae,Aframomum,NA,,
323,Afzelia_bipindensis,Fabaceae,Afzelia,NA,,
324,Annona_squamosa,Annonaceae,Annona,77.5,Sinnott-Armstrong2019,
325,Anthocleista_schweinfurthii,Gentianaceae,Anthocleista,31.75,Sinnott-Armstrong2019,
326,Artocarpus_altilis,Moraceae,Artocarpus,200,Sinnott-Armstrong2019,
327,Baillonella_toxisperma,Sapotaceae,Baillonella,NA,,
328,Barteria_solida,Passifloraceae,Barteria,NA,,
329,Piliostigma_thonningii,Fabaceae,Piliostigma,NA,,
330,Bobgunnia_fistuloides,Fabaceae,Bobgunnia,NA,,
331,Borassus_aethiopum,Arecaceae,Borassus,152.4,Sinnott-Armstrong2019,
332,Capparis_tomentosa,Capparaceae,Capparis,32.15,Sinnott-Armstrong2019,
333,Capsicum_frutescens,Solanaceae,Capsicum,14.32142857,Sinnott-Armstrong2019,
334,Carapa_procera,Meliaceae,Carapa,NA,,
335,Carica_papaya,Caricaceae,Carica,212.5,Sinnott-Armstrong2019,
336,Casearia_barteri,Salicaceae,Casearia,40,Sinnott-Armstrong2019,
337,Cassia_sieberiana,Fabaceae,Cassia,NA,,
338,Ceiba_pentandra,Malvaceae,Ceiba,90,Sinnott-Armstrong2019,
339,Chrysobalanus_icaco,Chrysobalanaceae,Chrysobalanus,29,Sinnott-Armstrong2019,
340,Citrus_aurantium,Rutaceae,Citrus,50,Sinnott-Armstrong2019,
341,Cogniauxia_podolaena,Cucurbitaceae,Cogniauxia,NA,,
342,Cola_gigantea,Malvaceae,Cola,NA,,
343,Costus_afer,Costaceae,Costus,NA,,
344,Desplatsia_chrysochlamys,Malvaceae,Desplatsia,NA,,
345,Detarium_senegalense,Fabaceae,Detarium,51,Sinnott-Armstrong2019,
346,Diospyros_mannii,Ebenaceae,Diospyros,NA,,
347,Dovyalis_abyssinica,Salicaceae,Dovyalis,16.35,Sinnott-Armstrong2019,
348,Dovyalis_zenkeri,Salicaceae,Dovyalis,NA,,
349,Eugenia_fernandopoana,Myrtaceae,Eugenia,NA,,
350,Eugenia_staudtii,Myrtaceae,Eugenia,NA,,
351,Irvingia_robur,Irvingiaceae,Irvingia,NA,,
352,Kigelia_africana,Bignoniaceae,Kigelia,600,Sinnott-Armstrong2019,
353,Klainedoxa_trillesii,Irvingiaceae,Klainedoxa,NA,,
354,Lagenaria_breviflora,Cucurbitaceae,Lagenaria,87.5,Sinnott-Armstrong2019,
355,Landolphia_hirsuta,Apocynaceae,Landolphia,NA,,
356,Landolphia_mannii,Apocynaceae,Landolphia,NA,,
357,Landolphia_parvifolia,Apocynaceae,Landolphia,NA,,
358,Manilkara_obovata,Sapotaceae,Manilkara,29.03333333,Sinnott-Armstrong2019,
359,Massularia_acuminata,Rubiaceae,Massularia,NA,,
360,Millettia_dura,Fabaceae,Millettia,NA,,
361,Neonauclea_excelsa,Rubiaceae,Neonauclea,NA,,
362,Nesogordonia_papaverifera,Malvaceae,Nesogordonia,NA,,
363,Omphalocarpum_elatum,Sapotaceae,Omphalocarpum,NA,,
364,Omphalocarpum_procerum,Sapotaceae,Omphalocarpum,NA,,
365,Oncoba_spinosa,Salicaceae,Oncoba,57.575,Sinnott-Armstrong2019,
366,Panda_oleosa,Pandaceae,Panda,NA,,
367,Persea_americana,Lauraceae,Persea,97,Sinnott-Armstrong2019,
368,Phoenix_reclinata,Arecaceae,Phoenix,13.675,Sinnott-Armstrong2019,
369,Picralima_nitida,Apocynaceae,Picralima,127,Sinnott-Armstrong2019,
370,Poga_oleosa,Anisophylleaceae,Poga,NA,,
371,Prosopis_africana,Fabaceae,Prosopis,NA,,
372,Psidium_guineense,Myrtaceae,Psidium,17.5,Sinnott-Armstrong2019,
373,Psydrax_subcordata,Rubiaceae,Psydrax,7,Sinnott-Armstrong2019,
374,Raphia_hookeri,Arecaceae,Raphia,NA,,
375,Rothmannia_macrocarpa,Rubiaceae,Rothmannia,NA,,
376,Rothmannia_urcelliformis,Rubiaceae,Rothmannia,50.5,Sinnott-Armstrong2019,
377,Scytopetalum_pierreanum,Lecythidaceae,Scytopetalum,NA,,
378,Solanum_erianthum,Solanaceae,Solanum,10.375,Sinnott-Armstrong2019,
379,Sorghum_arundinaceum,Poaceae,Sorghum,NA,,
380,Sterculia_rhinopetala,Malvaceae,Sterculia,NA,,
381,Strychnos_aculeata,Loganiaceae,Strychnos,NA,,
382,Strychnos_innocua,Loganiaceae,Strychnos,57.5,Sinnott-Armstrong2019,
383,Tamarindus_indica,Fabaceae,Tamarindus,96.9,Sinnott-Armstrong2019,
384,Telfairia_occidentalis,Cucurbitaceae,Telfairia,NA,,
385,Theobroma_cacao,Malvaceae,Theobroma,135,Sinnott-Armstrong2019,
386,Tieghemella_heckelii,Sapotaceae,Tieghemella,NA,,
387,Trema_orientale,Cannabaceae,Trema,NA,,
388,Trichoscypha_arborea,Anacardiaceae,Trichoscypha,NA,,
389,Triplochiton_scleroxylon,Malvaceae,Triplochiton,NA,,
390,Triumfetta_cordifolia,Malvaceae,Triumfetta,NA,,
391,Uapaca_heudelotii,Phyllanthaceae,Uapaca,2.6,"Breteler, F. J. (2013). Uapaca (Phyllanthaceae) in the Guineo-Congolian forest region: A synoptic revision. Plant Ecology and Evolution, 146(1), 75–94. https://doi.org/10.5091/plecevo.2013.770",
392,Uapaca_togoensis,Phyllanthaceae,Uapaca,16.4,Sinnott-Armstrong2019,
393,Vitellaria_paradoxa,Sapotaceae,Vitellaria,NA,,
394,Vitex_ciliata,Lamiaceae,Vitex,NA,,
395,Autranella_congolensis,Sapotaceae,Autranella,NA,,
396,Diospyros_crassiflora ,Ebenaceae,Diospyros,NA,,
397,Pachylobus_buettneri,Burseraceae,Pachylobus,NA,,
398,Scyphocephalium_mannii,Myristicaceae,Scyphocephalium,NA,,
399,Acacia_monticola,Fabaceae,Acacia,NA,,
400,Aframomum_angustifolium,Zingiberaceae,Aframomum,NA,,
401,Aframomum_corrorima,Zingiberaceae,Aframomum,NA,,
402,Aframomum_giganteum,Zingiberaceae,Aframomum,NA,,
403,Aframomum_mala,Zingiberaceae,Aframomum,NA,,
404,Aframomum_verrucosum,Zingiberaceae,Aframomum,NA,,
405,Aframomum_zambesiacum,Zingiberaceae,Aframomum,NA,,
406,Afrocanthium_lactescens,Rubiaceae,Afrocanthium,9.5,Sinnott-Armstrong2019,
407,Agelanthus_brunneus,Loranthaceae,Agelanthus,NA,,
408,Agelanthus_myrsinifolius,Loranthaceae,Agelanthus,NA,,
409,Alafia_erythrophthalma,Apocynaceae,Alafia,NA,,
410,Albizia_ferruginea,Fabaceae,Albizia,NA,,
411,Albizia_gummifera,Fabaceae,Albizia,NA,,
412,Allophylus_abyssinicus,Sapindaceae,Allophylus,7,Sinnott-Armstrong2019,
413,Ampelocissus_abyssinica,Vitaceae,Ampelocissus,NA,,
414,Aneilema_nyasense,Commelinaceae,Aneilema,NA,,
415,Annona_senegalensis,Annonaceae,Annona,39.06666667,Sinnott-Armstrong2019,
416,Artocarpus_heterophyllus,Moraceae,Artocarpus,564.2857143,Sinnott-Armstrong2019,
417,Balthasaria_schliebenii,Theaceae,Balthasaria,25,Sinnott-Armstrong2019,
418,Beilschmiedia_mannii,Lauraceae,Beilschmiedia,NA,,
419,Beilschmiedia_ugandensis,Lauraceae,Beilschmiedia,22.5,Sinnott-Armstrong2019,
420,Broussonetia_papyrifera,Moraceae,Broussonetia,NA,,
421,Caloncoba_crepiniana,Achariaceae,Caloncoba,NA,,
422,Canavalia_africana,Fabaceae,Canavalia,NA,,
423,Cansjera_rheedei,Opiliaceae,Cansjera,NA,,
424,Capparis_erythrocarpos,Capparaceae,Capparis,NA,,
425,Carpolobia_goetzei,Polygalaceae,Carpolobia,NA,,
426,Casearia_runssorica,Salicaceae,Casearia,NA,,
427,Elaeodendron_buchananii,Celastraceae,Elaeodendron,13.835,Sinnott-Armstrong2019,
428,Cassipourea_gummiflua,Rhizophoraceae,Cassipourea,NA,,
429,Cassipourea_ruwensorensis,Rhizophoraceae,Cassipourea,NA,,
430,Celtis_gomphophylla,Cannabaceae,Celtis,5,Sinnott-Armstrong2019,
431,Chassalia_subochreata,Rubiaceae,Chassalia,6,Sinnott-Armstrong2019,
432,Noronhia_africana,Oleaceae,Noronhia,NA,,
433,Englerophytum_rwandense,Sapotaceae,Englerophytum,NA,,
434,Cissus_quadrangularis,Vitaceae,Cissus,8,Sinnott-Armstrong2019,
435,Citrus_limon,Rutaceae,Citrus,75,Sinnott-Armstrong2019,
436,Citrus_sinensis,Rutaceae,Citrus,80,Sinnott-Armstrong2019,
437,Cleistanthus_polystachyus,Phyllanthaceae,Cleistanthus,10.5,Sinnott-Armstrong2019,
438,Coccinia_barteri,Cucurbitaceae,Coccinia,30,Sinnott-Armstrong2019,
439,Coccinia_mildbraedii,Cucurbitaceae,Coccinia,147.5,Sinnott-Armstrong2019,
440,Coffea_eugenioides,Rubiaceae,Coffea,NA,,
441,Cordia_africana,Boraginaceae,Cordia,11.9375,Sinnott-Armstrong2019,
442,Craterispermum_laurinum,Rubiaceae,Craterispermum,6.35,Sinnott-Armstrong2019,
443,Croton_megalocarpus,Euphorbiaceae,Croton,37.5,Sinnott-Armstrong2019,
444,Croton_reflexifolius,Euphorbiaceae,Croton,NA,,
445,Dasylepis_eggelingii,Flacourtiaceae,Dasylepis,12.7,Sinnott-Armstrong2019,
446,Deinbollia_fulvotomentella,Sapindaceae,Deinbollia,16.5,Sinnott-Armstrong2019,
447,Deinbollia_pinnata,Sapindaceae,Deinbollia,NA,,
448,Dialium_lopense,Fabaceae,Dialium,NA,,
449,Diospyros_hoyleana,Ebenaceae,Diospyros,NA,,
450,Diospyros_monbuttensis,Ebenaceae,Diospyros,NA,,
451,Dombeya_torrida,Malvaceae,Dombeya,NA,,
452,Dovyalis_macrocalyx,Salicaceae,Dovyalis,NA,,
453,Dracaena_laxissima,Asparagaceae,Dracaena,NA,,
454,Drypetes_bipindensis,Putranjivaceae,Drypetes,NA,,
455,Ekebergia_capensis,Meliaceae,Ekebergia,15.11904762,Sinnott-Armstrong2019,
456,Englerina_woodfordioides,Loranthaceae,Englerina,NA,,
457,Ensete_ventricosum,Musaceae,Ensete,115,Sinnott-Armstrong2019,
458,Crateva_eminens,Capparaceae,Crateva,NA,,
459,Ficus_demeusei,Moraceae,Ficus,NA,,
460,Ficus_asperifolia,Moraceae,Ficus,22.5,Sinnott-Armstrong2019,
461,Ficus_barteri,Moraceae,Ficus,12.5,Sinnott-Armstrong2019,
462,Ficus_brachypoda,Moraceae,Ficus,22.225,Sinnott-Armstrong2019,
463,Ficus_conraui,Moraceae,Ficus,NA,,
464,Ficus_craterostoma,Moraceae,Ficus,9.642857143,Sinnott-Armstrong2019,
465,Ficus_cyathistipula,Moraceae,Ficus,40,Sinnott-Armstrong2019,
466,Ficus_ottoniifolia,Moraceae,Ficus,25,Sinnott-Armstrong2019,
467,Ficus_pseudomangifera,Moraceae,Ficus,0.8382,Sinnott-Armstrong2019,
468,Ficus_pubigera,Moraceae,Ficus,NA,,
469,Ficus_tremula,Moraceae,Ficus,21.5,Sinnott-Armstrong2019,
470,Ficus_trichopoda,Moraceae,Ficus,15,Sinnott-Armstrong2019,
471,Ficus_vallis-choudae,Moraceae,Ficus,25.87272727,Sinnott-Armstrong2019,
472,Ficus_variifolia,Moraceae,Ficus,20,Sinnott-Armstrong2019,
473,Flacourtia_indica,Salicaceae,Flacourtia,24.74130435,Sinnott-Armstrong2019,
474,Flueggea_virosa,Phyllanthaceae,Flueggea,5.283333333,Sinnott-Armstrong2019,
475,Garcinia_huillensis,Clusiaceae,Garcinia,22.5,Sinnott-Armstrong2019,
476,Grewia_flavescens,Malvaceae,Grewia,11.13478261,Sinnott-Armstrong2019,
477,Microcos_mildbraedii,Malvaceae,Microcos,NA,,
478,Grewia_mollis,Malvaceae,Grewia,9.4,Sinnott-Armstrong2019,
479,Grewia_pubescens,Malvaceae,Grewia,NA,,
480,Grewia_rothii,Malvaceae,Grewia,NA,,
481,Guibourtia_tessmannii,Fabaceae,Guibourtia,NA,,
482,Haplocoelum_foliolosum,Sapindaceae,Haplocoelum,15.6082,Sinnott-Armstrong2019,
483,Hoslundia_opposita,Lamiaceae,Hoslundia,6.4,Sinnott-Armstrong2019,
484,Illigera_pentaphylla,Hernandiaceae,Illigera,NA,,
485,Impatiens_burtonii,Balsaminaceae,Impatiens,NA,,
486,Impatiens_irvingii,Balsaminaceae,Impatiens,NA,,
487,Impatiens_niamniamensis,Balsaminaceae,Impatiens,NA,,
488,Isolona_deightonii,Annonaceae,Isolona,NA,,
489,Ixora_burundiensis,Rubiaceae,Ixora,10,Sinnott-Armstrong2019,
490,Julbernardia_brieyi,Fabaceae,Julbernardia,NA,,
491,Keayodendron_bridelioides ,Phyllanthaceae,Keayodendron,NA,,
492,Keetia_venosa,Rubiaceae,Keetia,9.5,Sinnott-Armstrong2019,
493,Landolphia_landolphioides,Apocynaceae,Landolphia,NA,,
494,Landolphia_owariensis,Apocynaceae,Landolphia,NA,,
495,Lannea_fulva,Anacardiaceae,Lannea,NA,,
496,Lantana_camara,Verbenaceae,Lantana,4.452380952,Sinnott-Armstrong2019,
497,Lantana_trifolia,Verbenaceae,Lantana,2.75,Sinnott-Armstrong2019,
498,Lecaniodiscus_fraxinifolius,Sapindaceae,Lecaniodiscus,NA,,
499,Lepisanthes_senegalensis,Sapindaceae,Lepisanthes,20,Sinnott-Armstrong2019,
500,Loeseneriella_apocynoides,Hippocrateaceae,Loeseneriella,NA,,
501,Macaranga_kilimandscharica,Euphorbiaceae,Macaranga,NA,,
502,Macaranga_schweinfurthii,Euphorbiaceae,Macaranga,17,Sinnott-Armstrong2019,
503,Marantochloa_leucantha,Marantaceae,Marantochloa,NA,,
504,Mimulopsis_arborescens,Acanthaceae,Mimulopsis,NA,,
505,Mimusops_kummel,Sapotaceae,Mimusops,21.9875,Sinnott-Armstrong2019,
506,Monanthotaxis_ferruginea,Annonaceae,Monanthotaxis,NA,,
507,Monanthotaxis_orophila,Annonaceae,Monanthotaxis,NA,,
508,Myrianthus_preussii,Urticaceae,Myrianthus,50,Sinnott-Armstrong2019,
509,Neoboutonia_macrocalyx,Euphorbiaceae,Neoboutonia,11,Sinnott-Armstrong2019,
510,Newtonia_buchananii,Fabaceae,Newtonia,NA,,
511,Olax_subscorpioidea,Olacaceae,Olax,NA,,
512,Olinia_rochetiana,Penaeaceae,Olinia,7.5,Sinnott-Armstrong2019,
513,Oxyanthus_tubiflorus,Rubiaceae,Oxyanthus,NA,,
514,Pancovia_turbinata,Sapindaceae,Pancovia,10,Sinnott-Armstrong2019,
515,Parinari_curatellifolia,Chrysobalanaceae,Parinari,39.73809524,Sinnott-Armstrong2019,
516,Passiflora_subpeltata,Passifloraceae,Passiflora,40,Sinnott-Armstrong2019,
517,Cenchrus_purpureus,Poaceae,Cenchrus,NA,,
518,Peponium_vogelii,Cucurbitaceae,Peponium,90,Sinnott-Armstrong2019,
519,Phytolacca_dodecandra,Phytolaccaceae,Phytolacca,7.525,Sinnott-Armstrong2019,
520,Piper_umbellatum,Piperaceae,Piper,85,Sinnott-Armstrong2019,
521,Psychotria_mahonii,Rubiaceae,Psychotria,5.5,Sinnott-Armstrong2019,
