,Plant_Species_Corrected,Genus,Spp,Plant_Family,FruitLength,FruitWidth,Citation.ID.width,Citation.ID.length,WoodDensity,WoodDensity_TaxonomicLevel
206,Uvaria_chamae,Uvaria,chamae,Annonaceae,40,15,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.565580531,family
207,Abutilon_guineense,Abutilon,guineense,Malvaceae,20,15,"Hyde, M.A., Wursten, B.T., Ballings, P. & Coates Palgrave, M. (2023). Flora of Mozambique. https://www.mozambiqueflora.com/index.php",WFO (2023): World Flora Online. Published on the Internet. http://www.worldfloraonline.org.,0.488731536,family
208,Senegalia_ nigrescens,Senegalia,nigrescens,Fabaceae,NA,NA,NA,NA,0.702416609,family
209,Vachellia_robusta,Vachellia,robusta,Fabaceae,NA,NA,NA,NA,0.702416609,family
210,Vachellia xanthophloea,Vachellia,xanthophloea,Fabaceae,NA,NA,NA,NA,0.702416609,family
211,Acalypha_fruticosa,Acalypha,fruticosa,Euphorbiaceae,3,2,"POWO (2023). ""Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://www.plantsoftheworldonline.org/",JSTOR Global Plants. https://about.jstor.org/librarians/primary-sources/global-plants/,0.3,genus
212,Adansonia_digitata,Adansonia,digitata,Malvaceae,200,100,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.276,species
213,Afzelia_quanzensis,Afzelia,quanzensis,Fabaceae,81,75,World Agroforestry. https://www.worldagroforestry.org/output/agroforestree-database. ,"Sinnott-Armstrong, M. A., Downie, A. E., Federman, S., Valido, A., Jordano, P., & Donoghue, M. J. (2019). Data from: Global geographic patterns in the colours and sizes of animal‐dispersed fruits (Version 1, p. 102016329 bytes) [dataset]. Dryad. https://doi.org/10.5061/DRYAD.BH84VS3",0.716,species
214,Albizia_harveyi,Albizia,harveyi,Fabaceae,NA,NA,NA,NA,0.556356916,genus
215,Alysicarpus_glumaceus,Alysicarpus,glumaceus,Fabaceae,NA,NA,NA,NA,0.702416609,family
216,Balanites_aegyptiaca,Balanites,aegyptiaca,Zygophyllaceae,46.41666667,27.5,"Chothani, D. L. & Vaghasiya, H. U. A review on Balanites aegyptiaca Del (desert date): phytochemical constituents, traditional uses, and pharmacological activity. Pharmacogn Rev 5, 55–62 (2011).","Sinnott-Armstrong, M. A., Downie, A. E., Federman, S., Valido, A., Jordano, P., & Donoghue, M. J. (2019). Data from: Global geographic patterns in the colours and sizes of animal‐dispersed fruits (Version 1, p. 102016329 bytes) [dataset]. Dryad. https://doi.org/10.5061/DRYAD.BH84VS3",0.674333333,species
217,Schnella_microstachya,Schnella,microstachya,Fabaceae,50,15,"POWO (2023). ""Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://www.plantsoftheworldonline.org/","POWO (2023). ""Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://www.plantsoftheworldonline.org/",0.702416609,family
218,Phyllogeiton_discolor,Phyllogeiton,discolor,Rhamnaceae,20,9,JSTOR Global Plants. https://about.jstor.org/librarians/primary-sources/global-plants/,"CABI, 2022. CABI Compendium. Wallingford, UK: CAB International.",0.742069687,family
219,Blepharis_stuhlmannii,Blepharis,stuhlmannii,Acanthaceae,NA,NA,NA,NA,0.567558333,family
220,Urochloa_brizantha,Urochloa,brizantha,Poaceae,NA,NA,NA,NA,0.60289425,dataset
221,Brachiaria_deflexa,Brachiaria,deflexa,Poaceae,NA,NA,NA,NA,0.60289425,dataset
222,Brachiaria_xantholeuca,Brachiaria,xantholeuca,Poaceae,NA,NA,NA,NA,0.60289425,dataset
223,Brachystegia_bussei,Brachystegia,bussei,Fabaceae,NA,NA,NA,NA,0.605521429,genus
224,Brachystegia_tamarindoides,Brachystegia,tamarindoides,Fabaceae,75,NA,NA,"Affouard, A., Joly, A., Lombardo, J., Champ, J., Chouet, M., Gresse, H., Botella, C., Bonnet, P. (2023). Pl@ntNet automatically identified occurrences. Version 1.8. Pl@ntNet. Occurrence dataset https://doi.org/10.15468/mma2ec accessed via GBIF.org on 2023-08-16.",0.605521429,genus
225,Bullockia_setiflora,Bullockia,setiflora,Rubiaceae,9.5,NA,NA,"Hyde, M.A., Wursten, B.T., Ballings, P. & Coates Palgrave, M. (2023). Flora of Zimbabwe. https://www.zimbabweflora.co.zw/index.php",0.637445335,family
226,Caperonia_stuhlmannii,Caperonia,stuhlmannii,Euphorbiaceae,7,4.5,"Hyde, M.A., Wursten, B.T., Ballings, P. & Coates Palgrave, M. (2023). Flora of Mozambique. https://www.mozambiqueflora.com/index.php","Hyde, M.A., Wursten, B.T., Ballings, P. & Coates Palgrave, M. (2023). Flora of Mozambique. https://www.mozambiqueflora.com/index.php",0.544977248,family
227,Cissus_cornifolia,Cissus,cornifolia,Vitaceae,10,NA,NA,"Sinnott-Armstrong, M. A., Downie, A. E., Federman, S., Valido, A., Jordano, P., & Donoghue, M. J. (2019). Data from: Global geographic patterns in the colours and sizes of animal‐dispersed fruits (Version 1, p. 102016329 bytes) [dataset]. Dryad. https://doi.org/10.5061/DRYAD.BH84VS3",0.554,family
228,Cissus_verticillata,Cissus,verticillata,Vitaceae,7.75,NA,NA,"Sinnott-Armstrong, M. A., Downie, A. E., Federman, S., Valido, A., Jordano, P., & Donoghue, M. J. (2019). Data from: Global geographic patterns in the colours and sizes of animal‐dispersed fruits (Version 1, p. 102016329 bytes) [dataset]. Dryad. https://doi.org/10.5061/DRYAD.BH84VS3",0.554,family
229,Combretum_mossambicense,Combretum,mossambicense,Combretaceae,45,30,JSTOR Global Plants. https://about.jstor.org/librarians/primary-sources/global-plants/,JSTOR Global Plants. https://about.jstor.org/librarians/primary-sources/global-plants/,0.806,genus
230,Combretum_zeyheri,Combretum,zeyheri,Combretaceae,60,80,South African National Biodiversity Institute. https://www.sanbi.org/,Witkoppen Wildflower. https://witkoppenwildflower.co.za/,0.806,genus
231,Commiphora_africana,Commiphora,africana,Burseraceae,13.366,7,World Agroforestry. https://www.worldagroforestry.org/output/agroforestree-database. ,"Sinnott-Armstrong, M. A., Downie, A. E., Federman, S., Valido, A., Jordano, P., & Donoghue, M. J. (2019). Data from: Global geographic patterns in the colours and sizes of animal‐dispersed fruits (Version 1, p. 102016329 bytes) [dataset]. Dryad. https://doi.org/10.5061/DRYAD.BH84VS3",0.276,species
232,Cordyla_africana,Cordyla,africana,Fabaceae,60,45,PROTA. Plant Resources of Tropical Africa. https://www.prota4u.org/,"Sinnott-Armstrong, M. A., Downie, A. E., Federman, S., Valido, A., Jordano, P., & Donoghue, M. J. (2019). Data from: Global geographic patterns in the colours and sizes of animal‐dispersed fruits (Version 1, p. 102016329 bytes) [dataset]. Dryad. https://doi.org/10.5061/DRYAD.BH84VS3",0.7305,species
233,Croton_dichogamus,Croton,dichogamus,Euphorbiaceae,6.5,6.5,WFO (2023): World Flora Online. Published on the Internet. http://www.worldfloraonline.org.,WFO (2023): World Flora Online. Published on the Internet. http://www.worldfloraonline.org.,0.510402667,genus
234,Cucumis_hirsutus,Cucumis,hirsutus,Cucurbitaceae,47.5,40,Ken Fern. (2022). Useful Tropical Plants. https://tropical.theferns.info/,"Sinnott-Armstrong, M. A., Downie, A. E., Federman, S., Valido, A., Jordano, P., & Donoghue, M. J. (2019). Data from: Global geographic patterns in the colours and sizes of animal‐dispersed fruits (Version 1, p. 102016329 bytes) [dataset]. Dryad. https://doi.org/10.5061/DRYAD.BH84VS3",0.60289425,dataset
235,Cucumis_melo,Cucumis,melo,Cucurbitaceae,118.75,20,WFO (2023): World Flora Online. Published on the Internet. http://www.worldfloraonline.org.,"Sinnott-Armstrong, M. A., Downie, A. E., Federman, S., Valido, A., Jordano, P., & Donoghue, M. J. (2019). Data from: Global geographic patterns in the colours and sizes of animal‐dispersed fruits (Version 1, p. 102016329 bytes) [dataset]. Dryad. https://doi.org/10.5061/DRYAD.BH84VS3",0.60289425,dataset
236,Cucumis_sacleuxii,Cucumis,sacleuxii,Cucurbitaceae,NA,NA,NA,NA,0.60289425,dataset
237,Cyphostemma_gigantophyllum,Cyphostemma,gigantophyllum,Vitaceae,12,7,TreeSA https://treesa.org/cyphostemma-juttae/,"Sinnott-Armstrong, M. A., Downie, A. E., Federman, S., Valido, A., Jordano, P., & Donoghue, M. J. (2019). Data from: Global geographic patterns in the colours and sizes of animal‐dispersed fruits (Version 1, p. 102016329 bytes) [dataset]. Dryad. https://doi.org/10.5061/DRYAD.BH84VS3",0.554,family
238,Digitaria_milanjiana,Digitaria,milanjiana,Poaceae,NA,NA,NA,NA,0.60289425,dataset
239,Dioscorea_sansibarensis,Dioscorea,sansibarensis,Dioscoreaceae,14,14,Google image visual estimation,Google image visual estimation,0.60289425,dataset
240,Diospyros_kirkii,Diospyros,kirkii,Ebenaceae,35,35,"Sinnott-Armstrong, M. A., Downie, A. E., Federman, S., Valido, A., Jordano, P., & Donoghue, M. J. (2019). Data from: Global geographic patterns in the colours and sizes of animal‐dispersed fruits (Version 1, p. 102016329 bytes) [dataset]. Dryad. https://doi.org/10.5061/DRYAD.BH84VS3","Sinnott-Armstrong, M. A., Downie, A. E., Federman, S., Valido, A., Jordano, P., & Donoghue, M. J. (2019). Data from: Global geographic patterns in the colours and sizes of animal‐dispersed fruits (Version 1, p. 102016329 bytes) [dataset]. Dryad. https://doi.org/10.5061/DRYAD.BH84VS3",0.633,species
241,Diospyros_loureiroana,Diospyros,loureiroana,Ebenaceae,30,20,"Hyde, M.A., Wursten, B.T., Ballings, P. & Coates Palgrave, M. (2023). Flora of Mozambique. https://www.mozambiqueflora.com/index.php","Affouard, A., Joly, A., Lombardo, J., Champ, J., Chouet, M., Gresse, H., Botella, C., Bonnet, P. (2023). Pl@ntNet automatically identified occurrences. Version 1.8. Pl@ntNet. Occurrence dataset https://doi.org/10.15468/mma2ec accessed via GBIF.org on 2023-08-16.",0.683275126,genus
242,Digitaria_leucites,Digitaria,leucites,Poaceae,NA,NA,NA,NA,0.60289425,dataset
243,Eleusine_indica,Eleusine,indica,Poaceae,2,1.3,Eleusine indica. (2011). Identification Tool to Weed Disseminules of California Central Valley Table Grape Production Areas. https://idtools.org/id/weed-tool/key/GrapeGrassKey/Media/Html/fact_sheets/Ele-ind.html,Eleusine indica. (2011). Identification Tool to Weed Disseminules of California Central Valley Table Grape Production Areas. https://idtools.org/id/weed-tool/key/GrapeGrassKey/Media/Html/fact_sheets/Ele-ind.html,0.60289425,dataset
244,Eriochloa_barbatus,Eriochloa,barbatus,Poaceae,NA,NA,NA,NA,0.60289425,dataset
245,Erythroxylum_emarginatum,Erythroxylum,emarginatum,Erythroxylaceae,10.08823529,5,"Wintjes, J. & Sievers, C. Seeing Sibudu seeds: An illustrated text of the more frequent Middle Stone Age stones, nuts and seeds. Southern African Humanities 18, 223–233 (2006).","Sinnott-Armstrong, M. A., Downie, A. E., Federman, S., Valido, A., Jordano, P., & Donoghue, M. J. (2019). Data from: Global geographic patterns in the colours and sizes of animal‐dispersed fruits (Version 1, p. 102016329 bytes) [dataset]. Dryad. https://doi.org/10.5061/DRYAD.BH84VS3",0.784,species
246,Euphorbia_hirta,Euphorbia,hirta,Euphorbiaceae,NA,NA,NA,NA,0.457,genus
247,Euphorbia_systyloides,Euphorbia,systyloides,Euphorbiaceae,NA,NA,NA,NA,0.457,genus
248,Ficus_platyphylla,Ficus,platyphylla,Moraceae,17.475,17.475,"Sinnott-Armstrong, M. A., Downie, A. E., Federman, S., Valido, A., Jordano, P., & Donoghue, M. J. (2019). Data from: Global geographic patterns in the colours and sizes of animal‐dispersed fruits (Version 1, p. 102016329 bytes) [dataset]. Dryad. https://doi.org/10.5061/DRYAD.BH84VS3","Sinnott-Armstrong, M. A., Downie, A. E., Federman, S., Valido, A., Jordano, P., & Donoghue, M. J. (2019). Data from: Global geographic patterns in the colours and sizes of animal‐dispersed fruits (Version 1, p. 102016329 bytes) [dataset]. Dryad. https://doi.org/10.5061/DRYAD.BH84VS3",0.405534662,genus
249,Flueggea_virosa,Flueggea,virosa,Phyllanthaceae,5.283333333,4,PROTA. Plant Resources of Tropical Africa. https://www.prota4u.org/,"Sinnott-Armstrong, M. A., Downie, A. E., Federman, S., Valido, A., Jordano, P., & Donoghue, M. J. (2019). Data from: Global geographic patterns in the colours and sizes of animal‐dispersed fruits (Version 1, p. 102016329 bytes) [dataset]. Dryad. https://doi.org/10.5061/DRYAD.BH84VS3",0.631528482,family
250,Grevea_eggelingii,Grevea,eggelingii,Montiniaceae,15,10,https://plants.jstor.org/stable/10.5555/al.ap.specimen.k000310952,https://plants.jstor.org/stable/10.5555/al.ap.specimen.k000310952,0.60289425,dataset
251,Haplocoelum_inoploeum,Haplocoelum,inoploeum,Sapindaceae,16,10,JSTOR Global Plants. https://about.jstor.org/librarians/primary-sources/global-plants/,"Sinnott-Armstrong, M. A., Downie, A. E., Federman, S., Valido, A., Jordano, P., & Donoghue, M. J. (2019). Data from: Global geographic patterns in the colours and sizes of animal‐dispersed fruits (Version 1, p. 102016329 bytes) [dataset]. Dryad. https://doi.org/10.5061/DRYAD.BH84VS3",0.788,genus
252,Hibiscus_articulatus,Hibiscus,articulatus,Malvaceae,18,12,"Hyde, M.A., Wursten, B.T., Ballings, P. & Coates Palgrave, M. (2023). Flora of Zimbabwe. https://www.zimbabweflora.co.zw/index.php","Hyde, M.A., Wursten, B.T., Ballings, P. & Coates Palgrave, M. (2023). Flora of Zimbabwe. https://www.zimbabweflora.co.zw/index.php",0.456181818,genus
253,Hibiscus_cannabinus,Hibiscus,cannabinus,Malvaceae,16,15,"eFloras (2008). Published on the Internet http://www.efloras.org [accessed 22 February 2008]*' Missouri Botanical Garden, St. Louis, MO & Harvard University Herbaria, Cambridge, MA.","Affouard, A., Joly, A., Lombardo, J., Champ, J., Chouet, M., Gresse, H., Botella, C., Bonnet, P. (2023). Pl@ntNet automatically identified occurrences. Version 1.8. Pl@ntNet. Occurrence dataset https://doi.org/10.15468/mma2ec accessed via GBIF.org on 2023-08-16.",0.456181818,genus
254,Hibiscus_micranthus,Hibiscus,micranthus,Malvaceae,7.5,10,"Hyde, M.A., Wursten, B.T., Ballings, P. & Coates Palgrave, M. (2023). Flora of Caprivi.https://www.capriviflora.com/index.php","Affouard, A., Joly, A., Lombardo, J., Champ, J., Chouet, M., Gresse, H., Botella, C., Bonnet, P. (2023). Pl@ntNet automatically identified occurrences. Version 1.8. Pl@ntNet. Occurrence dataset https://doi.org/10.15468/mma2ec accessed via GBIF.org on 2023-08-16.",0.456181818,genus
255,Hoslundia_opposita,Hoslundia,opposita,Lamiaceae,6.4,6.25,JSTOR Global Plants. https://about.jstor.org/librarians/primary-sources/global-plants/,"Sinnott-Armstrong, M. A., Downie, A. E., Federman, S., Valido, A., Jordano, P., & Donoghue, M. J. (2019). Data from: Global geographic patterns in the colours and sizes of animal‐dispersed fruits (Version 1, p. 102016329 bytes) [dataset]. Dryad. https://doi.org/10.5061/DRYAD.BH84VS3",0.576575412,family
256,Hygrophila_auriculata,Hygrophila,auriculata,Acanthaceae,NA,NA,NA,NA,0.567558333,family
257,Hyparrhenia_filipendula,Hyparrhenia,filipendula,Poaceae,NA,NA,NA,NA,0.60289425,dataset
258,Indigofera_colutea,Indigofera,colutea,Fabaceae,22,2.5,efloraSA http://flora.sa.gov.au/cgi-bin/speciesfacts_display.cgi?genus=Indigofera&species=colutea,"Flowers of India. Retrieved January, 2022, from http://www.flowersofindia.net",0.702416609,family
259,Indigofera_dendroides,Indigofera,dendroides,Fabaceae,NA,NA,NA,NA,0.702416609,family
260,Ipomoea_aquatica,Ipomoea,aquatica,Convolvulaceae,NA,NA,NA,NA,0.435,genus
261,Ipomoea_biflora,Ipomoea,biflora,Convolvulaceae,9,7,Weed Risk Assessment for Ipomoea biflora (L.) Pers. (Convolvulaceae) – Bell vine. (2015). USDA Animal and Plant Health Inspection Service. https://www.aphis.usda.gov/plant_health/plant_pest_info/weeds/downloads/wra/Ipomoea-biflora.pdf,Weed Risk Assessment for Ipomoea biflora (L.) Pers. (Convolvulaceae) – Bell vine. (2015). USDA Animal and Plant Health Inspection Service. https://www.aphis.usda.gov/plant_health/plant_pest_info/weeds/downloads/wra/Ipomoea-biflora.pdf,0.435,genus
262,Ipomoea_coptica,Ipomoea,coptica,Convolvulaceae,NA,NA,NA,NA,0.435,genus
263,Ipomoea_crassipes,Ipomoea,crassipes,Convolvulaceae,NA,NA,NA,NA,0.435,genus
264,Ipomoea_eriocarpa,Ipomoea,eriocarpa,Convolvulaceae,5.5,5,WikiTrop https://portal.wiktrop.org,"Flowers of India. Retrieved January, 2022, from http://www.flowersofindia.net",0.435,genus
265,Ipomoea_lapathifolia,Ipomoea,lapathifolia,Convolvulaceae,6,6," ""Ipomoea lapathifolia"" Text available under a CC-BY-SA Creative Commons Attribution License. www.llifle.com 14 Nov. 2005. "," ""Ipomoea lapathifolia"" Text available under a CC-BY-SA Creative Commons Attribution License. www.llifle.com 14 Nov. 2005. ",0.435,genus
266,Ipomoea_mombassana,Ipomoea,mombassana,Convolvulaceae,NA,NA,NA,NA,0.435,genus
267,Ipomoea_obscura,Ipomoea,obscura,Convolvulaceae,11.5,8,WikiTrop https://portal.wiktrop.org,"Zich F.A., Hyland B.P.M., Whiffin T., Kerrigan R.A. (2020) Australian Tropical Rainforest Plants, Edition 8. https://apps.lucidcentral.org/rainforest/",0.435,genus
268,Ipomoea_pileata,Ipomoea,pileata,Convolvulaceae,NA,NA,NA,NA,0.435,genus
269,Ipomoea_venosa,Ipomoea,venosa,Convolvulaceae,NA,NA,NA,NA,0.435,genus
270,Lannea_schweinfurthii,Lannea,schweinfurthii,Anacardiaceae,11,6,Operation Wildflower https://www.operationwildflower.org.za,"Sinnott-Armstrong, M. A., Downie, A. E., Federman, S., Valido, A., Jordano, P., & Donoghue, M. J. (2019). Data from: Global geographic patterns in the colours and sizes of animal‐dispersed fruits (Version 1, p. 102016329 bytes) [dataset]. Dryad. https://doi.org/10.5061/DRYAD.BH84VS3",0.551,species
271,Lantana_radula,Lantana,radula,Verbenaceae,5,5,https://www.researchgate.net/publication/360727305_Convergent_evolution_of_disordered_lipidic_structural_color_in_the_fruits_of_Lantana_strigocamara_syn_L_camara_hybrid_cultivar/figures?lo=1,https://www.researchgate.net/publication/360727305_Convergent_evolution_of_disordered_lipidic_structural_color_in_the_fruits_of_Lantana_strigocamara_syn_L_camara_hybrid_cultivar/figures?lo=1,0.642583333,family
272,Leptochloa_panicea,Leptochloa,panicea,Poaceae,0.5,NA,NA,"POWO (2023). ""Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://www.plantsoftheworldonline.org/",0.60289425,dataset
273,Maerua_grantii,Maerua,grantii,Capparaceae,17.5,17.5,WFO (2023): World Flora Online. Published on the Internet. http://www.worldfloraonline.org.,PROTA. Plant Resources of Tropical Africa. https://www.prota4u.org/,0.68325,family
274,Manilkara_mochisia,Manilkara,mochisia,Sapotaceae,17.66666667,13,JSTOR Global Plants. https://about.jstor.org/librarians/primary-sources/global-plants/,"Sinnott-Armstrong, M. A., Downie, A. E., Federman, S., Valido, A., Jordano, P., & Donoghue, M. J. (2019). Data from: Global geographic patterns in the colours and sizes of animal‐dispersed fruits (Version 1, p. 102016329 bytes) [dataset]. Dryad. https://doi.org/10.5061/DRYAD.BH84VS3",1.076,species
275,Meyna_tetraphylla,Meyna,tetraphylla,Rubiaceae,NA,NA,NA,NA,0.637445335,family
276,Oryza_punctata,Oryza,punctata,Poaceae,NA,NA,NA,NA,0.60289425,dataset
277,Dichanthelium_dichotomum,Dichanthelium,dichotomum,Poaceae,NA,NA,NA,NA,0.60289425,dataset
278,Megathyrsus_infestus,Megathyrsus,infestus,Poaceae,NA,NA,NA,NA,0.60289425,dataset
279,Pavetta_fascifolia,Pavetta,fascifolia,Rubiaceae,7.5,7.5,"Sinnott-Armstrong, M. A., Downie, A. E., Federman, S., Valido, A., Jordano, P., & Donoghue, M. J. (2019). Data from: Global geographic patterns in the colours and sizes of animal‐dispersed fruits (Version 1, p. 102016329 bytes) [dataset]. Dryad. https://doi.org/10.5061/DRYAD.BH84VS3","Sinnott-Armstrong, M. A., Downie, A. E., Federman, S., Valido, A., Jordano, P., & Donoghue, M. J. (2019). Data from: Global geographic patterns in the colours and sizes of animal‐dispersed fruits (Version 1, p. 102016329 bytes) [dataset]. Dryad. https://doi.org/10.5061/DRYAD.BH84VS3",0.637445335,family
280,Pseudolachnostylis_maprouneifolia,Pseudolachnostylis,maprouneifolia,Phyllanthaceae,17.5,17.5,"Affouard, A., Joly, A., Lombardo, J., Champ, J., Chouet, M., Gresse, H., Botella, C., Bonnet, P. (2023). Pl@ntNet automatically identified occurrences. Version 1.8. Pl@ntNet. Occurrence dataset https://doi.org/10.15468/mma2ec accessed via GBIF.org on 2023-08-16.","Affouard, A., Joly, A., Lombardo, J., Champ, J., Chouet, M., Gresse, H., Botella, C., Bonnet, P. (2023). Pl@ntNet automatically identified occurrences. Version 1.8. Pl@ntNet. Occurrence dataset https://doi.org/10.15468/mma2ec accessed via GBIF.org on 2023-08-16.",0.62,species
281,Terminalia_myrtifolia,Terminalia,myrtifolia,Combretaceae,NA,NA,NA,NA,0.630496778,genus
282,Pyrenacantha_kaurabassana,Pyrenacantha,kaurabassana,Icacinaceae,19,12,JSTOR Global Plants. https://about.jstor.org/librarians/primary-sources/global-plants/,"Sinnott-Armstrong, M. A., Downie, A. E., Federman, S., Valido, A., Jordano, P., & Donoghue, M. J. (2019). Data from: Global geographic patterns in the colours and sizes of animal‐dispersed fruits (Version 1, p. 102016329 bytes) [dataset]. Dryad. https://doi.org/10.5061/DRYAD.BH84VS3",0.64475,family
283,Rourea_orientalis,Rourea,orientalis,Connaraceae,20,10,JSTOR Global Plants. https://about.jstor.org/librarians/primary-sources/global-plants/,Smith & Allen. Luangwatrees. / https://sites.google.com/site/luangwatrees/home/trees-with-compound-leaves-without-thorns/leaves-imparipinnate/rourea-orientalis,0.5,family
284,Schoenoplectiella_articulata,Schoenoplectiella,articulata,Cyperaceae,1,1,Sedges have v small fruits,Sedges hve very small fruits,0.60289425,dataset
285,Scleria_microcarpa,Scleria,microcarpa,Cyperaceae,1,1,https://plants.ifas.ufl.edu/plant-directory/scleria-microcarpa/,https://plants.ifas.ufl.edu/plant-directory/scleria-microcarpa/,0.60289425,dataset
286,Sclerocarya_birrea,Sclerocarya,birrea,Anacardiaceae,54.925,35,"Mariod, A. A., Saeed Mirghani, M. E. & Hussein, I. Chapter 38 - Sclerocarya birrea Marula (Homeid) Seed Oil. in Unconventional Oilseeds and Oil Sources (eds. Mariod, A. A., Saeed Mirghani, M. E. & Hussein, I.) 259–265 (Academic Press, 2017). doi:10.1016/B978-0-12-809435-8.00038-X.","Sinnott-Armstrong, M. A., Downie, A. E., Federman, S., Valido, A., Jordano, P., & Donoghue, M. J. (2019). Data from: Global geographic patterns in the colours and sizes of animal‐dispersed fruits (Version 1, p. 102016329 bytes) [dataset]. Dryad. https://doi.org/10.5061/DRYAD.BH84VS3",0.508,species
287,Setaria_incrassata,Setaria,incrassata,Poaceae,NA,NA,NA,NA,0.60289425,dataset
288,Sida_acuta,Sida,acuta,Malvaceae,4,4,Weeds of Austraila. (2016). https://weeds.org.au/,Weeds of Austraila. (2016). https://weeds.org.au/,0.488731536,family
289,Sida_rhombifolia,Sida,rhombifolia,Malvaceae,2.75,5.5,Weeds of Austraila. (2016). https://weeds.org.au/,Weeds of Austraila. (2016). https://weeds.org.au/,0.488731536,family
290,Sida_spinosa,Sida,spinosa,Malvaceae,4.5,4,"Zich F.A., Hyland B.P.M., Whiffin T., Kerrigan R.A. (2020) Australian Tropical Rainforest Plants, Edition 8. https://apps.lucidcentral.org/rainforest/",SEINet Symbiota. https://symbiota.org/seinet/,0.488731536,family
291,Siphonochilus_kirkii,Siphonochilus,kirkii,Zingiberaceae,NA,NA,NA,NA,0.60289425,dataset
292,Slereospermum_kunthianum,Slereospermum,kunthianum,Bignoniaceae,450,10,World Agroforestry. https://www.worldagroforestry.org/output/agroforestree-database. ,World Agroforestry. https://www.worldagroforestry.org/output/agroforestree-database. ,0.565745691,family
293,Sorghum_arundinaceum,Sorghum,arundinaceum,Poaceae,2.5,NA,NA,"Affouard, A., Joly, A., Lombardo, J., Champ, J., Chouet, M., Gresse, H., Botella, C., Bonnet, P. (2023). Pl@ntNet automatically identified occurrences. Version 1.8. Pl@ntNet. Occurrence dataset https://doi.org/10.15468/mma2ec accessed via GBIF.org on 2023-08-16.",0.60289425,dataset
294,Sorghum_veriscolor,Sorghum,veriscolor,Poaceae,NA,NA,NA,NA,0.60289425,dataset
295,Spermacoce_sphaerostigma,Spermacoce,sphaerostigma,Rubiaceae,NA,NA,NA,NA,0.637445335,family
296,Sphaeranthus_kirkii,Sphaeranthus,kirkii,Compositae,1.1,1.1,https://plants.jstor.org/compilation/Sphaeranthus.kirkii,https://plants.jstor.org/compilation/Sphaeranthus.kirkii,0.607109375,family
297,Sporobolus_fimbriatus,Sporobolus,fimbriatus,Poaceae,NA,NA,NA,NA,0.60289425,dataset
298,Sporobolus_ioclados,Sporobolus,ioclados,Poaceae,NA,NA,NA,NA,0.60289425,dataset
299,Sporobolus_pyramidalis,Sporobolus,pyramidalis,Poaceae,NA,NA,NA,NA,0.60289425,dataset
300,Strychnos_madagascariensis,Strychnos,madagascariensis,Loganiaceae,52.22222222,60,Ken Fern. (2022). Useful Tropical Plants. https://tropical.theferns.info/,"Sinnott-Armstrong, M. A., Downie, A. E., Federman, S., Valido, A., Jordano, P., & Donoghue, M. J. (2019). Data from: Global geographic patterns in the colours and sizes of animal‐dispersed fruits (Version 1, p. 102016329 bytes) [dataset]. Dryad. https://doi.org/10.5061/DRYAD.BH84VS3",0.663,species
301,Tephrosia_pumila,Tephrosia,pumila,Fabaceae,NA,NA,NA,NA,0.702416609,family
302,Tephrosia_stormsii,Tephrosia,stormsii,Fabaceae,NA,NA,NA,NA,0.702416609,family
303,Terminalia_mollis,Terminalia,mollis,Combretaceae,NA,NA,NA,NA,0.883,species
304,Terminalia_spinosa,Terminalia,spinosa,Combretaceae,25,15,WFO (2023): World Flora Online. Published on the Internet. http://www.worldfloraonline.org.,World Agroforestry. https://www.worldagroforestry.org/output/agroforestree-database. ,0.630496778,genus
305,Themeda_triandra,Themeda,triandra,Poaceae,NA,NA,NA,NA,0.60289425,dataset
306,Tragia_furialis,Tragia,furialis,Euphorbiaceae,NA,NA,NA,NA,0.544977248,family
307,Tricholaena_monachne,Tricholaena,monachne,Poaceae,NA,NA,NA,NA,0.60289425,dataset
308,Tricliceras_brevicaule,Tricliceras,brevicaule,Turneraceae,NA,NA,NA,NA,0.60289425,dataset
